id,university,categorized,department,college
1,서울대학교,경영경제,경영학과,경영대학
2,서울대학교,자연과학,간호학과,간호대학
3,서울대학교,자연과학,간호대학,간호대학
4,서울대학교,인문ㆍ사회,경영대학,경영대학
5,서울대학교,인문ㆍ사회,경영학과,경영대학
6,서울대학교,인문ㆍ사회,연합전공 벤처경영학,경영대학
7,서울대학교,공학,건축학과,공과대학
8,서울대학교,공학,산업공학과,공과대학
9,서울대학교,공학,공학계열,공과대학
10,서울대학교,공학,컴퓨터공학부,공과대학
11,서울대학교,공학,건축공학전공,공과대학
12,서울대학교,공학,재료공학부,공과대학
13,서울대학교,공학,건설환경공학부,공과대학
14,서울대학교,공학,화학생물공학부,공과대학
15,서울대학교,공학,건축학전공(5년),공과대학
16,서울대학교,공학,원자핵공학과,공과대학
17,서울대학교,공학,전기공학부,공과대학
18,서울대학교,공학,전기ㆍ정보공학부,공과대학
19,서울대학교,공학,에너지자원공학과,공과대학
20,서울대학교,공학,기계항공공학부,공과대학
21,서울대학교,공학,조선해양공학과,공과대학
22,서울대학교,자연과학,응용화학부,공과대학
23,서울대학교,자연과학,지구환경시스템공학부,공과대학
24,서울대학교,공학,전기공학부ㆍ컴퓨터공학부군,공과대학
25,서울대학교,공학,연합전공 기술경영,공과대학
26,서울대학교,공학,건축학과(건축공학전공),공과대학
27,서울대학교,공학,건축학과(건축학전공(5년)),공과대학
28,서울대학교,공학,연계전공 공학바이오,공과대학
29,서울대학교,공학,기계항공공학부(우주항공공학전공),공과대학
30,서울대학교,공학,기계항공공학부(기계공학전공),공과대학
31,서울대학교,공학,연계전공 공학바이오,공학대학
32,서울대학교,공학,조경학전공,농업생명과학대학
33,서울대학교,공학,환경재료과학전공,농업생명과학대학
34,서울대학교,공학,바이오소재공학전공,농업생명과학대학
35,서울대학교,공학,산업인력개발학전공,농업생명과학대학
36,서울대학교,공학,식품생명공학전공,농업생명과학대학
37,서울대학교,인문ㆍ사회,농경제사회학부 농업ㆍ자원 경제학 전공,농업생명과학대학
38,서울대학교,인문ㆍ사회,농경제학과,농업생명과학대학
39,서울대학교,인문ㆍ사회,농경제사회학부,농업생명과학대학
40,서울대학교,자연과학,동물생명공학전공,농업생명과학대학
41,서울대학교,자연과학,응용생물학전공,농업생명과학대학
42,서울대학교,자연과학,식물생산과학부(작물생명과학전공),농업생명과학대학
43,서울대학교,자연과학,응용생명화학전공,농업생명과학대학
44,서울대학교,자연과학,농생명과학계열2,농업생명과학대학
45,서울대학교,자연과학,식물생산과학부,농업생명과학대학
46,서울대학교,자연과학,원예과학전공,농업생명과학대학
47,서울대학교,자연과학,농생명과학계열1,농업생명과학대학
48,서울대학교,자연과학,기초과정,농업생명과학대학
49,서울대학교,자연과학,산림과학부,농업생명과학대학
50,서울대학교,자연과학,농업생명과학대학,농업생명과학대학
51,서울대학교,자연과학,산림환경학전공,농업생명과학대학
52,서울대학교,자연과학,농생명공학계열,농업생명과학대학
53,서울대학교,자연과학,응용생물화학부,농업생명과학대학
54,서울대학교,자연과학,농산업교육과,농업생명과학대학
55,서울대학교,공학,바이오시스템ㆍ소재학부,농업생명과학대학
56,서울대학교,자연과학,식물생산ㆍ산림과학부군,농업생명과학대학
57,서울대학교,공학,조경ㆍ지역시스템공학부,농업생명과학대학
58,서울대학교,인문ㆍ사회,연합전공 글로벌환경경영학,농업생명과학대학
59,서울대학교,인문ㆍ사회,농경제사회학부 지역정보전공,농업생명과학대학
60,서울대학교,자연과학,식품ㆍ동물생명공학부,농업생명과학대학
61,서울대학교,인문ㆍ사회,농경제사회학부 농경제학전공,농업생명과학대학
62,서울대학교,자연과학,바이오시스템ㆍ조경학계열,농업생명과학대학
63,서울대학교,자연과학,바이오시스템ㆍ소재학부,농업생명과학대학
64,서울대학교,공학,조경ㆍ지역시스템공학부(조경학전공),농업생명과학대학
65,서울대학교,공학,조경ㆍ지역시스템공학부,농업생명과학대학
66,서울대학교,자연과학,식물생산과학부(원예생명공학전공),농업생명과학대학
67,서울대학교,공학,식물생산과학부(산업인력개발학전공),농업생명과학대학
68,서울대학교,예ㆍ체능,디자인학부,미술대학
69,서울대학교,예ㆍ체능,금속공예전공,미술대학
70,서울대학교,예ㆍ체능,공업디자인전공,미술대학
71,서울대학교,예ㆍ체능,미술대학,미술대학
72,서울대학교,예ㆍ체능,조소과,미술대학
73,서울대학교,예ㆍ체능,서양화과,미술대학
74,서울대학교,예ㆍ체능,도예전공,미술대학
75,서울대학교,예ㆍ체능,디자인학부(금속공예전공),미술대학
76,서울대학교,예ㆍ체능,시각디자인전공,미술대학
77,서울대학교,예ㆍ체능,산업디자인과,미술대학
78,서울대학교,예ㆍ체능,공예전공,미술대학
79,서울대학교,예ㆍ체능,동양화과,미술대학
80,서울대학교,예ㆍ체능,공예과,미술대학
81,서울대학교,예ㆍ체능,연합전공 영상매체예술,미술대학
82,서울대학교,예ㆍ체능,연계전공 통합창의디자인,미술대학
83,서울대학교,예ㆍ체능,디자인학부(공예전공),미술대학
84,서울대학교,예ㆍ체능,디자인학부(디자인전공),미술대학
85,서울대학교,인문ㆍ사회,공법학과,법과대학
86,서울대학교,인문ㆍ사회,법과대학,법과대학
87,서울대학교,인문ㆍ사회,법학부,법과대학
88,서울대학교,예ㆍ체능,체육교육과,사범대학
89,서울대학교,인문ㆍ사회,사회교육계열,사범대학
90,서울대학교,인문ㆍ사회,외국어교육계열,사범대학
91,서울대학교,인문ㆍ사회,불어교육과,사범대학
92,서울대학교,인문ㆍ사회,사회교육과,사범대학
93,서울대학교,인문ㆍ사회,역사교육과,사범대학
94,서울대학교,인문ㆍ사회,독어교육과,사범대학
95,서울대학교,인문ㆍ사회,교육학과,사범대학
96,서울대학교,인문ㆍ사회,영어교육과,사범대학
97,서울대학교,인문ㆍ사회,국어교육과,사범대학
98,서울대학교,인문ㆍ사회,지리교육과,사범대학
99,서울대학교,인문ㆍ사회,윤리교육과,사범대학
100,서울대학교,인문ㆍ사회,국민윤리교육과,사범대학
101,서울대학교,자연과학,수학교육과,사범대학
102,서울대학교,자연과학,기초과정,사범대학
103,서울대학교,자연과학,물리교육과,사범대학
104,서울대학교,자연과학,화학교육과,사범대학
105,서울대학교,자연과학,지구과학교육과,사범대학
106,서울대학교,자연과학,과학교육계열,사범대학
107,서울대학교,자연과학,생물교육과,사범대학
108,서울대학교,인문ㆍ사회,교육학ㆍ국민윤리교육과군,사범대학
109,서울대학교,인문ㆍ사회,교육학ㆍ윤리교육과군,사범대학
110,서울대학교,인문ㆍ사회,정치외교학부,사회과학대학
111,서울대학교,인문ㆍ사회,언론정보학과,사회과학대학
112,서울대학교,인문ㆍ사회,인류학과,사회과학대학
113,서울대학교,인문ㆍ사회,심리학과,사회과학대학
114,서울대학교,인문ㆍ사회,외교학과,사회과학대학
115,서울대학교,인문ㆍ사회,사회복지학과,사회과학대학
116,서울대학교,인문ㆍ사회,정치학과,사회과학대학
117,서울대학교,인문ㆍ사회,경제학부,사회과학대학
118,서울대학교,인문ㆍ사회,사회학과,사회과학대학
119,서울대학교,인문ㆍ사회,정치외교학부(외교학전공),사회과학대학
120,서울대학교,인문ㆍ사회,사회과학계열,사회과학대학
121,서울대학교,인문ㆍ사회,정치외교학부(정치학전공),사회과학대학
122,서울대학교,자연과학,기초과정,사회과학대학
