id	university	college	department	categorized
	서울대학교	간호대학	간호학과	자연과학
	서울대학교	간호대학	간호대학	자연과학
	서울대학교	경영대학	경영대학	인문ㆍ사회
	서울대학교	경영대학	경영학과	인문ㆍ사회
	서울대학교	경영대학	연합전공 벤처경영학	인문ㆍ사회
	서울대학교	공과대학	건축학과	공학
	서울대학교	공과대학	산업공학과	공학
	서울대학교	공과대학	공학계열	공학
	서울대학교	공과대학	컴퓨터공학부	공학
	서울대학교	공과대학	건축공학전공	공학
	서울대학교	공과대학	재료공학부	공학
	서울대학교	공과대학	건설환경공학부	공학
	서울대학교	공과대학	화학생물공학부	공학
	서울대학교	공과대학	건축학전공(5년)	공학
	서울대학교	공과대학	원자핵공학과	공학
	서울대학교	공과대학	전기공학부	공학
	서울대학교	공과대학	전기ㆍ정보공학부	공학
	서울대학교	공과대학	에너지자원공학과	공학
	서울대학교	공과대학	기계항공공학부	공학
	서울대학교	공과대학	조선해양공학과	공학
	서울대학교	공과대학	응용화학부	자연과학
	서울대학교	공과대학	지구환경시스템공학부	자연과학
	서울대학교	공과대학	전기공학부ㆍ컴퓨터공학부군	공학
	서울대학교	공과대학	연합전공 기술경영	공학
	서울대학교	공과대학	건축학과(건축공학전공)	공학
	서울대학교	공과대학	건축학과(건축학전공(5년))	공학
	서울대학교	공과대학	연계전공 공학바이오	공학
	서울대학교	공과대학	기계항공공학부(우주항공공학전공)	공학
	서울대학교	공과대학	기계항공공학부(기계공학전공)	공학
	서울대학교	공학대학	연계전공 공학바이오	공학
	서울대학교	농업생명과학대학	조경학전공	공학
	서울대학교	농업생명과학대학	환경재료과학전공	공학
	서울대학교	농업생명과학대학	바이오소재공학전공	공학
	서울대학교	농업생명과학대학	산업인력개발학전공	공학
	서울대학교	농업생명과학대학	식품생명공학전공	공학
	서울대학교	농업생명과학대학	농경제사회학부 농업ㆍ자원 경제학 전공	인문ㆍ사회
	서울대학교	농업생명과학대학	농경제학과	인문ㆍ사회
	서울대학교	농업생명과학대학	농경제사회학부	인문ㆍ사회
	서울대학교	농업생명과학대학	동물생명공학전공	자연과학
	서울대학교	농업생명과학대학	응용생물학전공	자연과학
	서울대학교	농업생명과학대학	식물생산과학부(작물생명과학전공)	자연과학
	서울대학교	농업생명과학대학	응용생명화학전공	자연과학
	서울대학교	농업생명과학대학	농생명과학계열2	자연과학
	서울대학교	농업생명과학대학	식물생산과학부	자연과학
	서울대학교	농업생명과학대학	원예과학전공	자연과학
	서울대학교	농업생명과학대학	농생명과학계열1	자연과학
	서울대학교	농업생명과학대학	기초과정	자연과학
	서울대학교	농업생명과학대학	산림과학부	자연과학
	서울대학교	농업생명과학대학	농업생명과학대학	자연과학
	서울대학교	농업생명과학대학	산림환경학전공	자연과학
	서울대학교	농업생명과학대학	농생명공학계열	자연과학
	서울대학교	농업생명과학대학	응용생물화학부	자연과학
	서울대학교	농업생명과학대학	농산업교육과	자연과학
	서울대학교	농업생명과학대학	바이오시스템ㆍ소재학부	공학
	서울대학교	농업생명과학대학	식물생산ㆍ산림과학부군	자연과학
	서울대학교	농업생명과학대학	조경ㆍ지역시스템공학부	공학
	서울대학교	농업생명과학대학	연합전공 글로벌환경경영학	인문ㆍ사회
	서울대학교	농업생명과학대학	농경제사회학부 지역정보전공	인문ㆍ사회
	서울대학교	농업생명과학대학	식품ㆍ동물생명공학부	자연과학
	서울대학교	농업생명과학대학	농경제사회학부 농경제학전공	인문ㆍ사회
	서울대학교	농업생명과학대학	바이오시스템ㆍ조경학계열	자연과학
	서울대학교	농업생명과학대학	바이오시스템ㆍ소재학부(바이오시스템공학전공)	자연과학
	서울대학교	농업생명과학대학	조경ㆍ지역시스템공학부(조경학전공)	공학
	서울대학교	농업생명과학대학	조경ㆍ지역시스템공학부(지역시스템공학전공)	공학
	서울대학교	농업생명과학대학	식물생산과학부(원예생명공학전공)	자연과학
	서울대학교	농업생명과학대학	식물생산과학부(산업인력개발학전공)	공학
	서울대학교	미술대학	디자인학부	예ㆍ체능
	서울대학교	미술대학	금속공예전공	예ㆍ체능
	서울대학교	미술대학	공업디자인전공	예ㆍ체능
	서울대학교	미술대학	미술대학	예ㆍ체능
	서울대학교	미술대학	조소과	예ㆍ체능
	서울대학교	미술대학	서양화과	예ㆍ체능
	서울대학교	미술대학	도예전공	예ㆍ체능
	서울대학교	미술대학	디자인학부(금속공예전공)	예ㆍ체능
	서울대학교	미술대학	시각디자인전공	예ㆍ체능
	서울대학교	미술대학	산업디자인과	예ㆍ체능
	서울대학교	미술대학	공예전공	예ㆍ체능
	서울대학교	미술대학	동양화과	예ㆍ체능
	서울대학교	미술대학	공예과	예ㆍ체능
	서울대학교	미술대학	연합전공 영상매체예술	예ㆍ체능
	서울대학교	미술대학	연계전공 통합창의디자인	예ㆍ체능
	서울대학교	미술대학	디자인학부(공예전공)	예ㆍ체능
	서울대학교	미술대학	디자인학부(디자인전공)	예ㆍ체능
	서울대학교	법과대학	공법학과	인문ㆍ사회
	서울대학교	법과대학	법과대학	인문ㆍ사회
	서울대학교	법과대학	법학부	인문ㆍ사회
	서울대학교	사범대학	체육교육과	예ㆍ체능
	서울대학교	사범대학	사회교육계열	인문ㆍ사회
	서울대학교	사범대학	외국어교육계열	인문ㆍ사회
	서울대학교	사범대학	불어교육과	인문ㆍ사회
	서울대학교	사범대학	사회교육과	인문ㆍ사회
	서울대학교	사범대학	역사교육과	인문ㆍ사회
	서울대학교	사범대학	독어교육과	인문ㆍ사회
	서울대학교	사범대학	교육학과	인문ㆍ사회
	서울대학교	사범대학	영어교육과	인문ㆍ사회
	서울대학교	사범대학	국어교육과	인문ㆍ사회
	서울대학교	사범대학	지리교육과	인문ㆍ사회
	서울대학교	사범대학	윤리교육과	인문ㆍ사회
	서울대학교	사범대학	국민윤리교육과	인문ㆍ사회
	서울대학교	사범대학	수학교육과	자연과학
	서울대학교	사범대학	기초과정	자연과학
	서울대학교	사범대학	물리교육과	자연과학
	서울대학교	사범대학	화학교육과	자연과학
	서울대학교	사범대학	지구과학교육과	자연과학
	서울대학교	사범대학	과학교육계열	자연과학
	서울대학교	사범대학	생물교육과	자연과학
	서울대학교	사범대학	교육학ㆍ국민윤리교육과군	인문ㆍ사회
	서울대학교	사범대학	교육학ㆍ윤리교육과군	인문ㆍ사회
	서울대학교	사회과학대학	정치외교학부	인문ㆍ사회
	서울대학교	사회과학대학	언론정보학과	인문ㆍ사회
	서울대학교	사회과학대학	인류학과	인문ㆍ사회
	서울대학교	사회과학대학	심리학과	인문ㆍ사회
	서울대학교	사회과학대학	외교학과	인문ㆍ사회
	서울대학교	사회과학대학	사회복지학과	인문ㆍ사회
	서울대학교	사회과학대학	정치학과	인문ㆍ사회
	서울대학교	사회과학대학	경제학부	인문ㆍ사회
	서울대학교	사회과학대학	사회학과	인문ㆍ사회
	서울대학교	사회과학대학	정치외교학부(외교학전공)	인문ㆍ사회
	서울대학교	사회과학대학	사회과학계열	인문ㆍ사회
	서울대학교	사회과학대학	정치외교학부(정치학전공)	인문ㆍ사회
	서울대학교	사회과학대학	기초과정	자연과학
	서울대학교	사회과학대학	지리학과	인문ㆍ사회
	서울대학교	사회과학대학	연계전공 지구화와 문화	인문ㆍ사회
	서울대학교	사회과학대학	연계전공 금융경제	인문ㆍ사회
	서울대학교	사회과학대학	연계전공 유럽지역학	인문ㆍ사회
	서울대학교	사회과학대학	연합전공 정보문화학	인문ㆍ사회
	서울대학교	사회과학대학	연계전공 뇌-마음-행동	인문ㆍ사회
	서울대학교	사회과학대학	인류.지리학과군	인문ㆍ사회
	서울대학교	생활과학대학	가족아동학전공	인문ㆍ사회
	서울대학교	생활과학대학	소비자학전공	인문ㆍ사회
	서울대학교	생활과학대학	소비자아동학부	인문ㆍ사회
	서울대학교	생활과학대학	"의류,식품영양학과군"	자연과학
	서울대학교	생활과학대학	의류학과	자연과학
	서울대학교	생활과학대학	식품영양학과	자연과학
	서울대학교	생활과학대학	생활과학대학	자연과학
	서울대학교	생활과학대학	소비자아동학부(소비자학전공)	인문ㆍ사회
	서울대학교	생활과학대학	소비자아동학부(아동가족학전공)	인문ㆍ사회
	서울대학교	수의과대학	수의예과	자연과학
	서울대학교	수의과대학	수의학과	의학
	서울대학교	약학대학	약학기본과정(2+4학제)	자연과학
	서울대학교	약학대학	약학과	자연과학
	서울대학교	약학대학	약학과(2+4년제)	자연과학
	서울대학교	약학대학	제약학과	자연과학
	서울대학교	약학대학	약학대학	자연과학
	서울대학교	약학대학	제약학과(2+4학제)	자연과학
	서울대학교	약학대학	기초과정	자연과학
	서울대학교	음악대학	작곡과	예ㆍ체능
	서울대학교	음악대학	음악대학	예ㆍ체능
	서울대학교	음악대학	기악과	예ㆍ체능
	서울대학교	음악대학	국악과	예ㆍ체능
	서울대학교	음악대학	성악과	예ㆍ체능
	서울대학교	음악대학	작곡ㆍ이론전공	예ㆍ체능
	서울대학교	음악대학	국악과(기악전공)	예ㆍ체능
	서울대학교	음악대학	국악과(성악전공)	예ㆍ체능
	서울대학교	음악대학	국악과(이론전공)	예ㆍ체능
	서울대학교	음악대학	국악과(작곡전공)	예ㆍ체능
	서울대학교	음악대학	기악과(관악전공)	예ㆍ체능
	서울대학교	음악대학	기악과(피아노전공)	예ㆍ체능
	서울대학교	음악대학	기악과(현악전공)	예ㆍ체능
	서울대학교	음악대학	작곡과(이론전공)	예ㆍ체능
	서울대학교	음악대학	작곡과(작곡전공)	예ㆍ체능
	서울대학교	의과대학	의학과	의학
	서울대학교	의과대학	의예과	자연과학
	서울대학교	인문대학	국어국문학과	인문ㆍ사회
	서울대학교	인문대학	서양사학과	인문ㆍ사회
	서울대학교	인문대학	인문계열1	인문ㆍ사회
	서울대학교	인문대학	노어노문학과	인문ㆍ사회
	서울대학교	인문대학	인문대학	인문ㆍ사회
	서울대학교	인문대학	종교학과	인문ㆍ사회
	서울대학교	인문대학	영어영문학과	인문ㆍ사회
	서울대학교	인문대학	언어학과	인문ㆍ사회
	서울대학교	인문대학	인문계열2	인문ㆍ사회
	서울대학교	인문대학	독어독문학과	인문ㆍ사회
	서울대학교	인문대학	동양사학과	인문ㆍ사회
	서울대학교	인문대학	고고미술사학과	인문ㆍ사회
	서울대학교	인문대학	불어불문학과	인문ㆍ사회
	서울대학교	인문대학	국사학과	인문ㆍ사회
	서울대학교	인문대학	중어중문학과	인문ㆍ사회
	서울대학교	인문대학	아시아언어문명학부	인문ㆍ사회
	서울대학교	인문대학	미학과	인문ㆍ사회
	서울대학교	인문대학	서어서문학과	인문ㆍ사회
	서울대학교	인문대학	철학과	인문ㆍ사회
	서울대학교	인문대학	기초과정	자연과학
	서울대학교	인문대학	연계전공 러시아학	인문ㆍ사회
	서울대학교	인문대학	연계전공 언어공학	인문ㆍ사회
	서울대학교	인문대학	연계전공 한국문화	인문ㆍ사회
	서울대학교	인문대학	고고미술사학과 미술사학전공	인문ㆍ사회
	서울대학교	인문대학	연계전공 미국학	인문ㆍ사회
	서울대학교	인문대학	연계전공 문학과 철학	인문ㆍ사회
	서울대학교	인문대학	연계전공 심리학-철학	인문ㆍ사회
	서울대학교	인문대학	연계전공 경제-철학	인문ㆍ사회
	서울대학교	인문대학	고고미술사학과 고고학전공	인문ㆍ사회
	서울대학교	인문대학	연계전공 중국학	인문ㆍ사회
	서울대학교	인문대학	인문계열	인문ㆍ사회
	서울대학교	인문대학	아시아언어문명학부(동남아시아언어문명)	인문ㆍ사회
	서울대학교	인문대학	아시아언어문명학부(서아시아언어문명)	인문ㆍ사회
	서울대학교	인문대학	아시아언어문명학부(인도언어문명)	인문ㆍ사회
	서울대학교	인문대학	아시아언어문명학부(일본언어문명)	인문ㆍ사회
	서울대학교	인문대학	연계전공 라틴아메리카학	인문ㆍ사회
	서울대학교	인문대학	연계전공 정치-경제-철학	인문ㆍ사회
	서울대학교	인문대학	연계전공 고전문헌학	인문ㆍ사회
	서울대학교	인문대학	연합전공 동아시아비교인문학	인문ㆍ사회
	서울대학교	인문대학	연계전공 인문데이터과학	인문ㆍ사회
	서울대학교	자연과학대학	물리학전공	자연과학
	서울대학교	자연과학대학	천문학전공	자연과학
	서울대학교	자연과학대학	통계학과	자연과학
	서울대학교	자연과학대학	수리과학부	자연과학
	서울대학교	자연과학대학	생명과학부	자연과학
	서울대학교	자연과학대학	자연과학부	자연과학
	서울대학교	자연과학대학	지구환경과학부(천문학전공)	자연과학
	서울대학교	자연과학대학	지구시스템과학전공	자연과학
	서울대학교	자연과학대학	자연과학대학	자연과학
	서울대학교	자연과학대학	물리학부	자연과학
	서울대학교	자연과학대학	해양학전공	자연과학
	서울대학교	자연과학대학	지구환경과학부	자연과학
	서울대학교	자연과학대학	지구환경과학계열	자연과학
	서울대학교	자연과학대학	물리학과	자연과학
	서울대학교	자연과학대학	기초과학계	자연과학
	서울대학교	자연과학대학	화학부	자연과학
	서울대학교	자연과학대학	대기과학전공	자연과학
	서울대학교	자연과학대학	연계전공 금융수학	자연과학
	서울대학교	자연과학대학	연계전공 환경과학	자연과학
	서울대학교	자연과학대학	수리과학부ㆍ통계학과군	자연과학
	서울대학교	자연과학대학	연합전공 계산과학	자연과학
	서울대학교	자연과학대학	연계전공 과학계산	자연과학
	서울대학교	자연과학대학	물리ㆍ천문학부	자연과학
	서울대학교	자연과학대학	연계전공 정보과학	공학
	서울대학교	자연과학대학	화학과	자연과학
	서울대학교	자연과학대학	물리ㆍ천문학부(물리학전공)	자연과학
	서울대학교	자연과학대학	물리ㆍ천문학부(천문학전공)	자연과학
	서울대학교	자연과학대학	연계전공 과학기술학	자연과학
	서울대학교	자유전공학부	자유전공학부	인문ㆍ사회
	서울대학교	자유전공학부	자유전공학부(인문)	인문ㆍ사회
	서울대학교	자유전공학부	자유전공학부(자연)	자연과학
	서울대학교	치과대학	치의학과	의학
	고려대학교	간호대학	간호학과	자연과학
	고려대학교	경영대학	경영학과	인문ㆍ사회
	고려대학교	공과대학	공과대학	공학
	고려대학교	공과대학	전기공학과	공학
	고려대학교	공과대학	전파공학과	공학
	고려대학교	공과대학	토목환경공학과	공학
	고려대학교	공과대학	신소재화공생명공학부	공학
	고려대학교	공과대학	정보경영공학부	공학
	고려대학교	공과대학	신소재공학부	공학
	고려대학교	공과대학	재료화공생명공학부	공학
	고려대학교	공과대학	기계공학과	공학
	고려대학교	공과대학	산업시스템정보공학과	공학
	고려대학교	공과대학	전기전자전파공학부	공학
	고려대학교	공과대학	건축학과	공학
	고려대학교	공과대학	기계공학부	공학
	고려대학교	공과대학	사회환경시스템공학과	공학
	고려대학교	공과대학	건축공학과	공학
	고려대학교	공과대학	산업경영공학부	공학
	고려대학교	공과대학	화공생명공학과	공학
	고려대학교	공과대학	건축공학과 건축공학전공	공학
	고려대학교	공과대학	기계ㆍ정보경영공학부	공학
	고려대학교	공과대학	기계ㆍ산업시스템정보공학부	공학
	고려대학교	공과대학	건축사회환경공학부	공학
	고려대학교	공과대학	건축ㆍ사회환경공학과	공학
	고려대학교	공과대학	건축사회환경시스템공학부	공학
	고려대학교	공과대학	건축ㆍ사회환경공학부	공학
	고려대학교	공과대학	전기전자공학부	공학
	고려대학교	단과대구분없음	사이버국방학과	공학
	고려대학교	단과대구분없음	조형학부	예ㆍ체능
	고려대학교	단과대구분없음	미술학부	예ㆍ체능
	고려대학교	단과대구분없음	자유전공학부	인문ㆍ사회
	고려대학교	단과대구분없음	미디어학부	인문ㆍ사회
	고려대학교	단과대구분없음	국제학부	인문ㆍ사회
	고려대학교	단과대구분없음	언론학부	인문ㆍ사회
	고려대학교	단과대구분없음	디자인조형학부	예ㆍ체능
	고려대학교	문과대학	국어국문학과	인문ㆍ사회
	고려대학교	문과대학	서양사학과	인문ㆍ사회
	고려대학교	문과대학	서어서문학과	인문ㆍ사회
	고려대학교	문과대학	사회학과	인문ㆍ사회
	고려대학교	문과대학	한문학과	인문ㆍ사회
	고려대학교	문과대학	철학과	인문ㆍ사회
	고려대학교	문과대학	국제어문학부	인문ㆍ사회
	고려대학교	문과대학	사학과	인문ㆍ사회
	고려대학교	문과대학	한국사학과	인문ㆍ사회
	고려대학교	문과대학	인문학부	인문ㆍ사회
	고려대학교	문과대학	중어중문학과	인문ㆍ사회
	고려대학교	문과대학	영어영문학과	인문ㆍ사회
	고려대학교	문과대학	노어노문학과	인문ㆍ사회
	고려대학교	문과대학	불어불문학과	인문ㆍ사회
	고려대학교	문과대학	언어학과	인문ㆍ사회
	고려대학교	문과대학	심리학과	인문ㆍ사회
	고려대학교	문과대학	독어독문학과	인문ㆍ사회
	고려대학교	문과대학	언어과학과	인문ㆍ사회
	고려대학교	문과대학	일어일문학과	인문ㆍ사회
	고려대학교	문과대학	동양사학과	인문ㆍ사회
	고려대학교	법과대학	법학과	인문ㆍ사회
	고려대학교	보건과학대학	치기공학과	자연과학
	고려대학교	보건과학대학	생체의공학과	공학
	고려대학교	보건과학대학	방사선학과	자연과학
	고려대학교	보건과학대학	보건과학부	자연과학
	고려대학교	보건과학대학	임상병리학과	자연과학
	고려대학교	보건과학대학	물리치료학과	자연과학
	고려대학교	보건과학대학	식품영양학과	자연과학
	고려대학교	보건과학대학	환경보건학과	자연과학
	고려대학교	보건과학대학	보건행정학과	인문ㆍ사회
	고려대학교	보건과학대학	보건환경융합과학부	자연과학
	고려대학교	보건과학대학	바이오의공학부	공학
	고려대학교	보건과학대학	바이오시스템의과학부	자연과학
	고려대학교	보건과학대학	보건정책관리학부	인문ㆍ사회
	고려대학교	사범대학	컴퓨터교육과	자연과학
	고려대학교	사범대학	체육교육과	예ㆍ체능
	고려대학교	사범대학	지리교육과	인문ㆍ사회
	고려대학교	사범대학	국어교육과	인문ㆍ사회
	고려대학교	사범대학	역사교육과	인문ㆍ사회
	고려대학교	사범대학	교육학과	인문ㆍ사회
	고려대학교	사범대학	영어교육과	인문ㆍ사회
	고려대학교	사범대학	수학교육과	자연과학
	고려대학교	사범대학	가정교육과	자연과학
	고려대학교	생명과학대학	생명과학대학	자연과학
	고려대학교	생명과학대학	원예과학과	자연과학
	고려대학교	생명과학대학	생명유전공학부	자연과학
	고려대학교	생명과학대학	응용생명환경화학과	자연과학
	고려대학교	생명과학대학	생명과학계열학부	자연과학
	고려대학교	생명과학대학	생명과학부	자연과학
	고려대학교	생명과학대학	농생물학과	자연과학
	고려대학교	생명과학대학	식품공학부	자연과학
	고려대학교	생명과학대학	식량자원학과	자연과학
	고려대학교	생명과학대학	응용동물과학과	자연과학
	고려대학교	생명과학대학	생명산업과학부	자연과학
	고려대학교	생명과학대학	산림자원환경학과	자연과학
	고려대학교	생명과학대학	환경생태공학부	자연과학
	고려대학교	생명과학대학	식품공학과	자연과학
	고려대학교	생명과학대학	식품자원경제학과	인문ㆍ사회
	고려대학교	생명과학대학	생명공학부	자연과학
	고려대학교	생명과학대학	생명환경과학계열학부	자연과학
	고려대학교	생명과학대학	생명환경과학계열	자연과학
	고려대학교	의과대학	의예과	자연과학
	고려대학교	의과대학	의학과	의학
	고려대학교	이과대학	물리학과	자연과학
	고려대학교	이과대학	이과대학	자연과학
	고려대학교	이과대학	수학과	자연과학
	고려대학교	이과대학	화학과	자연과학
	고려대학교	이과대학	지구환경과학과	자연과학
	고려대학교	정경대학	정치외교학과	인문ㆍ사회
	고려대학교	정경대학	정경대학	인문ㆍ사회
	고려대학교	정경대학	경제학과	인문ㆍ사회
	고려대학교	정경대학	신문방송학과	인문ㆍ사회
	고려대학교	정경대학	행정학과	인문ㆍ사회
	고려대학교	정경대학	통계학과	인문ㆍ사회
	고려대학교	정보대학	컴퓨터학과	공학
	고려대학교	정보통신대학	전파통신공학과	공학
	고려대학교	정보통신대학	컴퓨터학과	공학
	고려대학교	정보통신대학	정보통신대학	공학
	고려대학교	정보통신대학	컴퓨터ㆍ통신공학부	공학
	연세대학교	간호대학	간호학과	자연과학
	연세대학교	간호대학	간호학과(특별과정)	자연과학
	연세대학교	경영대학	경영학과	인문ㆍ사회
	연세대학교	공과대학	건축공학과	공학
	연세대학교	공과대학	화공생명공학부	공학
	연세대학교	공과대학	기계공학부	공학
	연세대학교	공과대학	사회환경시스템공학부	공학
	연세대학교	공과대학	전기전자공학전공	공학
	연세대학교	공과대학	세라믹공학전공	공학
	연세대학교	공과대학	도시공학과	공학
	연세대학교	공과대학	전기전자공학부	공학
	연세대학교	공과대학	신소재공학전공	공학
	연세대학교	공과대학	기계공학전공	공학
	연세대학교	공과대학	화공생명공학전공	공학
	연세대학교	공과대학	정보산업공학전공	공학
	연세대학교	공과대학	토목환경공학전공	공학
	연세대학교	공과대학	금속시스템공학전공	공학
	연세대학교	공과대학	글로벌융합공학부	공학
	연세대학교	공과대학	산업공학과	공학
	연세대학교	공과대학	컴퓨터과학과	공학
	연세대학교	공과대학	건축학(5년제)	공학
	연세대학교	공과대학	건축공학(4년제)	공학
	연세대학교	공과대학	IT융합공학전공	공학
	연세대학교	공과대학	신소재공학부	공학
	연세대학교	공과대학	건설환경공학전공	공학
	연세대학교	교육과학대학	사회체육과	예ㆍ체능
	연세대학교	교육과학대학	스포츠레저학과	예ㆍ체능
	연세대학교	교육과학대학	스포츠응용산업학과	예ㆍ체능
	연세대학교	교육과학대학	교육학부	인문ㆍ사회
	연세대학교	교육과학대학	체육교육학과	예ㆍ체능
	연세대학교	교육과학대학	교육학전공	인문ㆍ사회
	연세대학교	글로벌인재학부	글로벌인재학부	인문ㆍ사회
	연세대학교	글로벌인재학부	국제통상전공	인문ㆍ사회
	연세대학교	글로벌인재학부	한국문화전공	인문ㆍ사회
	연세대학교	글로벌인재학부	한국문화ㆍ통상전공	인문ㆍ사회
	연세대학교	글로벌인재학부	한국언어문화교육전공	인문ㆍ사회
	연세대학교	글로벌인재학부	문화ㆍ미디어전공	인문ㆍ사회
	연세대학교	문과대학	노어노문학과	인문ㆍ사회
	연세대학교	문과대학	국어국문학과	인문ㆍ사회
	연세대학교	문과대학	불어불문학과	인문ㆍ사회
	연세대학교	문과대학	중어중문학과	인문ㆍ사회
	연세대학교	문과대학	심리학과	인문ㆍ사회
	연세대학교	문과대학	문헌정보학과	인문ㆍ사회
	연세대학교	문과대학	독어독문학과	인문ㆍ사회
