id,university,college,department,categorized
1,서울대학교,간호대학,간호학과,자연과학
2,서울대학교,간호대학,간호대학,자연과학
3,서울대학교,경영대학,경영대학,인문ㆍ사회
4,서울대학교,경영대학,경영학과,인문ㆍ사회
5,서울대학교,경영대학,연합전공 벤처경영학,인문ㆍ사회
6,서울대학교,공과대학,건축학과,공학
7,서울대학교,공과대학,산업공학과,공학
8,서울대학교,공과대학,공학계열,공학
9,서울대학교,공과대학,컴퓨터공학부,공학
10,서울대학교,공과대학,건축공학전공,공학
11,서울대학교,공과대학,재료공학부,공학
12,서울대학교,공과대학,건설환경공학부,공학
13,서울대학교,공과대학,화학생물공학부,공학
14,서울대학교,공과대학,건축학전공(5년),공학
15,서울대학교,공과대학,원자핵공학과,공학
16,서울대학교,공과대학,전기공학부,공학
17,서울대학교,공과대학,전기ㆍ정보공학부,공학
18,서울대학교,공과대학,에너지자원공학과,공학
19,서울대학교,공과대학,기계항공공학부,공학
20,서울대학교,공과대학,조선해양공학과,공학
21,서울대학교,공과대학,응용화학부,자연과학
22,서울대학교,공과대학,지구환경시스템공학부,자연과학
23,서울대학교,공과대학,전기공학부ㆍ컴퓨터공학부군,공학
24,서울대학교,공과대학,연합전공 기술경영,공학
25,서울대학교,공과대학,건축학과(건축공학전공),공학
26,서울대학교,공과대학,건축학과(건축학전공(5년)),공학
27,서울대학교,공과대학,연계전공 공학바이오,공학
28,서울대학교,공과대학,기계항공공학부(우주항공공학전공),공학
29,서울대학교,공과대학,기계항공공학부(기계공학전공),공학
30,서울대학교,공학대학,연계전공 공학바이오,공학
31,서울대학교,농업생명과학대학,조경학전공,공학
32,서울대학교,농업생명과학대학,환경재료과학전공,공학
33,서울대학교,농업생명과학대학,바이오소재공학전공,공학
34,서울대학교,농업생명과학대학,산업인력개발학전공,공학
35,서울대학교,농업생명과학대학,식품생명공학전공,공학
36,서울대학교,농업생명과학대학,농경제사회학부 농업ㆍ자원 경제학 전공,인문ㆍ사회
37,서울대학교,농업생명과학대학,농경제학과,인문ㆍ사회
38,서울대학교,농업생명과학대학,농경제사회학부,인문ㆍ사회
39,서울대학교,농업생명과학대학,동물생명공학전공,자연과학
40,서울대학교,농업생명과학대학,응용생물학전공,자연과학
41,서울대학교,농업생명과학대학,식물생산과학부(작물생명과학전공),자연과학
42,서울대학교,농업생명과학대학,응용생명화학전공,자연과학
43,서울대학교,농업생명과학대학,농생명과학계열2,자연과학
44,서울대학교,농업생명과학대학,식물생산과학부,자연과학
45,서울대학교,농업생명과학대학,원예과학전공,자연과학
46,서울대학교,농업생명과학대학,농생명과학계열1,자연과학
47,서울대학교,농업생명과학대학,기초과정,자연과학
48,서울대학교,농업생명과학대학,산림과학부,자연과학
49,서울대학교,농업생명과학대학,농업생명과학대학,자연과학
50,서울대학교,농업생명과학대학,산림환경학전공,자연과학
51,서울대학교,농업생명과학대학,농생명공학계열,자연과학
52,서울대학교,농업생명과학대학,응용생물화학부,자연과학
53,서울대학교,농업생명과학대학,농산업교육과,자연과학
54,서울대학교,농업생명과학대학,바이오시스템ㆍ소재학부,공학
55,서울대학교,농업생명과학대학,식물생산ㆍ산림과학부군,자연과학
56,서울대학교,농업생명과학대학,조경ㆍ지역시스템공학부,공학
57,서울대학교,농업생명과학대학,연합전공 글로벌환경경영학,인문ㆍ사회
58,서울대학교,농업생명과학대학,농경제사회학부 지역정보전공,인문ㆍ사회
59,서울대학교,농업생명과학대학,식품ㆍ동물생명공학부,자연과학
60,서울대학교,농업생명과학대학,농경제사회학부 농경제학전공,인문ㆍ사회
61,서울대학교,농업생명과학대학,바이오시스템ㆍ조경학계열,자연과학
62,서울대학교,농업생명과학대학,바이오시스템ㆍ소재학부(바이오시스템공학전공),자연과학
63,서울대학교,농업생명과학대학,조경ㆍ지역시스템공학부(조경학전공),공학
64,서울대학교,농업생명과학대학,조경ㆍ지역시스템공학부(지역시스템공학전공),공학
65,서울대학교,농업생명과학대학,식물생산과학부(원예생명공학전공),자연과학
66,서울대학교,농업생명과학대학,식물생산과학부(산업인력개발학전공),공학
67,서울대학교,미술대학,디자인학부,예ㆍ체능
68,서울대학교,미술대학,금속공예전공,예ㆍ체능
69,서울대학교,미술대학,공업디자인전공,예ㆍ체능
70,서울대학교,미술대학,미술대학,예ㆍ체능
71,서울대학교,미술대학,조소과,예ㆍ체능
72,서울대학교,미술대학,서양화과,예ㆍ체능
73,서울대학교,미술대학,도예전공,예ㆍ체능
74,서울대학교,미술대학,디자인학부(금속공예전공),예ㆍ체능
75,서울대학교,미술대학,시각디자인전공,예ㆍ체능
76,서울대학교,미술대학,산업디자인과,예ㆍ체능
77,서울대학교,미술대학,공예전공,예ㆍ체능
78,서울대학교,미술대학,동양화과,예ㆍ체능
79,서울대학교,미술대학,공예과,예ㆍ체능
80,서울대학교,미술대학,연합전공 영상매체예술,예ㆍ체능
81,서울대학교,미술대학,연계전공 통합창의디자인,예ㆍ체능
82,서울대학교,미술대학,디자인학부(공예전공),예ㆍ체능
83,서울대학교,미술대학,디자인학부(디자인전공),예ㆍ체능
84,서울대학교,법과대학,공법학과,인문ㆍ사회
85,서울대학교,법과대학,법과대학,인문ㆍ사회
86,서울대학교,법과대학,법학부,인문ㆍ사회
87,서울대학교,사범대학,체육교육과,예ㆍ체능
88,서울대학교,사범대학,사회교육계열,인문ㆍ사회
89,서울대학교,사범대학,외국어교육계열,인문ㆍ사회
90,서울대학교,사범대학,불어교육과,인문ㆍ사회
91,서울대학교,사범대학,사회교육과,인문ㆍ사회
92,서울대학교,사범대학,역사교육과,인문ㆍ사회
93,서울대학교,사범대학,독어교육과,인문ㆍ사회
94,서울대학교,사범대학,교육학과,인문ㆍ사회
95,서울대학교,사범대학,영어교육과,인문ㆍ사회
96,서울대학교,사범대학,국어교육과,인문ㆍ사회
97,서울대학교,사범대학,지리교육과,인문ㆍ사회
98,서울대학교,사범대학,윤리교육과,인문ㆍ사회
99,서울대학교,사범대학,국민윤리교육과,인문ㆍ사회
100,서울대학교,사범대학,수학교육과,자연과학
101,서울대학교,사범대학,기초과정,자연과학
102,서울대학교,사범대학,물리교육과,자연과학
103,서울대학교,사범대학,화학교육과,자연과학
104,서울대학교,사범대학,지구과학교육과,자연과학
105,서울대학교,사범대학,과학교육계열,자연과학
106,서울대학교,사범대학,생물교육과,자연과학
107,서울대학교,사범대학,교육학ㆍ국민윤리교육과군,인문ㆍ사회
108,서울대학교,사범대학,교육학ㆍ윤리교육과군,인문ㆍ사회
109,서울대학교,사회과학대학,정치외교학부,인문ㆍ사회
110,서울대학교,사회과학대학,언론정보학과,인문ㆍ사회
111,서울대학교,사회과학대학,인류학과,인문ㆍ사회
112,서울대학교,사회과학대학,심리학과,인문ㆍ사회
113,서울대학교,사회과학대학,외교학과,인문ㆍ사회
114,서울대학교,사회과학대학,사회복지학과,인문ㆍ사회
115,서울대학교,사회과학대학,정치학과,인문ㆍ사회
116,서울대학교,사회과학대학,경제학부,인문ㆍ사회
117,서울대학교,사회과학대학,사회학과,인문ㆍ사회
118,서울대학교,사회과학대학,정치외교학부(외교학전공),인문ㆍ사회
119,서울대학교,사회과학대학,사회과학계열,인문ㆍ사회
120,서울대학교,사회과학대학,정치외교학부(정치학전공),인문ㆍ사회
121,서울대학교,사회과학대학,기초과정,자연과학
122,서울대학교,사회과학대학,지리학과,인문ㆍ사회
123,서울대학교,사회과학대학,연계전공 지구화와 문화,인문ㆍ사회
124,서울대학교,사회과학대학,연계전공 금융경제,인문ㆍ사회
125,서울대학교,사회과학대학,연계전공 유럽지역학,인문ㆍ사회
